vader_compound,vader_pos,vader_neg,vader_neu,Verified,Type Of Traveller,Seat Type,review_length,Recommended
-0.6014,0.109,0.124,0.766,True,Family Leisure,Economy Class,1142,0
-0.9846,0.009,0.241,0.749,True,Business,Economy Class,644,0
0.991,0.29,0.013,0.698,True,Solo Leisure,Economy Class,587,1
-0.8979,0.014,0.156,0.83,True,Couple Leisure,Economy Class,351,0
-0.9571,0.056,0.126,0.818,True,Business,Economy Class,1259,0
-0.8228,0.07,0.135,0.795,True,Couple Leisure,Economy Class,644,0
-0.9371,0.015,0.111,0.874,False,Couple Leisure,Economy Class,1176,0
-0.1685,0.101,0.131,0.768,True,Solo Leisure,Economy Class,427,0
0.2984,0.055,0.061,0.884,True,Couple Leisure,Economy Class,602,0
0.9483,0.132,0.064,0.804,True,Family Leisure,Economy Class,1044,1
0.981,0.488,0.0,0.512,True,Solo Leisure,Economy Class,185,1
0.0,0.0,0.0,1.0,True,Business,Economy Class,189,0
-0.5659,0.015,0.043,0.942,True,Couple Leisure,Economy Class,1084,0
0.8223,0.141,0.101,0.758,True,Solo Leisure,Economy Class,663,1
-0.7241,0.0,0.067,0.933,True,Couple Leisure,Economy Class,541,0
-0.296,0.0,0.028,0.972,True,Couple Leisure,Economy Class,420,0
0.8354,0.139,0.0,0.861,True,Solo Leisure,Economy Class,301,1
-0.9419,0.008,0.122,0.869,True,Solo Leisure,Economy Class,734,0
0.9893,0.393,0.023,0.584,False,Business,Economy Class,448,1
-0.7351,0.058,0.212,0.73,True,Family Leisure,Economy Class,165,0
-0.8098,0.026,0.161,0.813,True,Business,Economy Class,337,0
-0.7251,0.0,0.136,0.864,True,Business,Economy Class,265,0
-0.6377,0.052,0.151,0.796,True,Couple Leisure,Economy Class,243,0
0.765,0.122,0.093,0.785,False,Solo Leisure,Economy Class,797,1
0.6948,0.097,0.065,0.838,True,Solo Leisure,Economy Class,640,0
-0.3612,0.075,0.116,0.809,True,Solo Leisure,Premium Economy,341,0
-0.8617,0.047,0.114,0.838,True,Solo Leisure,Economy Class,850,0
