vader_compound,vader_pos,vader_neg,vader_neu,Verified,Type Of Traveller,Seat Type,review_length,row_id,Review Date,Date Flown,Recommended
0.987,0.146,0.0,0.854,True,Couple Leisure,Economy Class,1071,107,2023-06-29,2023-06-01,1
0.9287,0.132,0.022,0.846,True,Couple Leisure,Business Class,674,108,2023-05-30,2023-05-01,1
-0.2575,0.066,0.085,0.848,True,Family Leisure,Economy Class,526,109,2023-05-23,2023-05-01,0
-0.8625,0.009,0.076,0.915,False,Business,Economy Class,706,110,2023-05-02,2023-05-01,0
0.7906,0.156,0.093,0.752,True,Couple Leisure,Economy Class,440,111,2023-04-30,2023-04-01,1
0.9818,0.423,0.0,0.577,True,Solo Leisure,Economy Class,265,112,2023-04-26,2023-04-01,1
0.9215,0.113,0.013,0.874,True,Solo Leisure,Economy Class,580,113,2023-04-23,2023-04-01,1
0.9736,0.144,0.062,0.794,True,Solo Leisure,Economy Class,954,114,2023-04-20,2023-04-01,0
-0.3182,0.04,0.059,0.901,True,Solo Leisure,Economy Class,1677,115,2023-04-07,2023-03-01,0
0.2707,0.1,0.098,0.802,True,Solo Leisure,Economy Class,206,116,2023-04-01,2023-03-01,0
0.9796,0.324,0.0,0.676,True,Couple Leisure,Business Class,323,117,2023-03-26,2023-03-01,1
0.9606,0.338,0.048,0.614,True,Family Leisure,Business Class,261,118,2023-03-21,2022-09-01,1
-0.5423,0.027,0.131,0.843,True,Business,Economy Class,353,119,2023-03-16,2022-07-01,0
-0.7089,0.0,0.102,0.898,True,Family Leisure,Economy Class,261,120,2023-03-15,2023-03-01,0
0.9204,0.223,0.04,0.737,True,Family Leisure,Economy Class,278,121,2023-03-03,2023-03-01,0
-0.4854,0.014,0.046,0.941,True,Couple Leisure,Economy Class,987,122,2023-02-15,2023-02-01,0
0.5693,0.048,0.021,0.931,True,Family Leisure,Economy Class,714,123,2023-02-09,2022-06-01,0
-0.7705,0.085,0.13,0.785,False,Solo Leisure,Economy Class,731,124,2023-01-13,2022-12-01,0
0.9379,0.146,0.046,0.808,True,Family Leisure,Economy Class,683,125,2023-01-09,2023-01-01,0
0.0,0.0,0.0,1.0,True,Solo Leisure,Economy Class,198,126,2022-12-31,2022-12-01,0
-0.9193,0.0,0.36,0.64,True,Solo Leisure,Economy Class,161,127,2022-12-18,2022-12-01,0
0.7252,0.062,0.012,0.926,True,Family Leisure,Economy Class,910,128,2022-11-13,2022-11-01,0
0.9562,0.303,0.0,0.697,True,Solo Leisure,Economy Class,287,129,2022-11-13,2022-11-01,1
-0.6014,0.109,0.124,0.766,True,Family Leisure,Economy Class,1142,130,2022-11-04,2022-11-01,0
-0.9846,0.009,0.241,0.749,True,Business,Economy Class,644,131,2022-11-03,2022-09-01,0
0.991,0.29,0.013,0.698,True,Solo Leisure,Economy Class,587,132,2022-10-26,2022-10-01,1
-0.8979,0.014,0.156,0.83,True,Couple Leisure,Economy Class,351,133,2022-10-10,2022-08-01,0
-0.9571,0.056,0.126,0.818,True,Business,Economy Class,1259,134,2022-10-06,2022-10-01,0
-0.8228,0.07,0.135,0.795,True,Couple Leisure,Economy Class,644,135,2022-10-05,2022-10-01,0
-0.9371,0.015,0.111,0.874,False,Couple Leisure,Economy Class,1176,136,2022-10-01,2022-08-01,0
-0.1685,0.101,0.131,0.768,True,Solo Leisure,Economy Class,427,137,2022-09-30,2022-09-01,0
0.2984,0.055,0.061,0.884,True,Couple Leisure,Economy Class,602,138,2022-09-20,2022-09-01,0
0.9483,0.132,0.064,0.804,True,Family Leisure,Economy Class,1044,139,2022-09-18,2022-09-01,1
0.981,0.488,0.0,0.512,True,Solo Leisure,Economy Class,185,140,2022-09-18,2022-09-01,1
0.0,0.0,0.0,1.0,True,Business,Economy Class,189,141,2022-09-17,2022-09-01,0
-0.5659,0.015,0.043,0.942,True,Couple Leisure,Economy Class,1084,142,2022-09-11,2022-06-01,0
0.8223,0.141,0.101,0.758,True,Solo Leisure,Economy Class,663,143,2022-09-05,2022-09-01,1
-0.7241,0.0,0.067,0.933,True,Couple Leisure,Economy Class,541,144,2022-09-02,2022-08-01,0
-0.296,0.0,0.028,0.972,True,Couple Leisure,Economy Class,420,145,2022-09-02,2022-09-01,0
0.8354,0.139,0.0,0.861,True,Solo Leisure,Economy Class,301,146,2022-08-18,2022-06-01,1
-0.9419,0.008,0.122,0.869,True,Solo Leisure,Economy Class,734,147,2022-08-12,2022-08-01,0
0.9893,0.393,0.023,0.584,False,Business,Economy Class,448,148,2022-08-11,2022-08-01,1
-0.7351,0.058,0.212,0.73,True,Family Leisure,Economy Class,165,149,2022-08-11,2022-08-01,0
-0.8098,0.026,0.161,0.813,True,Business,Economy Class,337,150,2022-08-02,2022-08-01,0
-0.7251,0.0,0.136,0.864,True,Business,Economy Class,265,151,2022-07-29,2022-07-01,0
-0.6377,0.052,0.151,0.796,True,Couple Leisure,Economy Class,243,152,2022-07-11,2022-07-01,0
0.765,0.122,0.093,0.785,False,Solo Leisure,Economy Class,797,153,2022-07-09,2022-07-01,1
0.6948,0.097,0.065,0.838,True,Solo Leisure,Economy Class,640,154,2022-07-08,2022-07-01,0
