Seat Comfort,Cabin Staff Service,Food & Beverages,Ground Service,Value For Money,Seat Comfort_missing,Cabin Staff Service_missing,Food & Beverages_missing,Ground Service_missing,Value For Money_missing,Verified,Type Of Traveller,Seat Type,review_length,Recommended
3.0,3.0,3.0,1.0,2.0,0,0,0,0,0,True,Solo Leisure,Economy Class,1401,0
5.0,5.0,5.0,3.0,5.0,0,0,0,0,0,False,Solo Leisure,Economy Class,344,1
1.0,1.0,2.0,1.0,2.0,0,0,0,0,0,False,Couple Leisure,Economy Class,909,0
3.0,3.0,3.0,2.0,2.0,0,0,0,0,0,True,Solo Leisure,Economy Class,1615,0
2.0,3.0,3.0,1.0,2.0,0,0,0,0,0,True,Family Leisure,Economy Class,397,0
3.0,4.0,3.0,3.0,1.0,0,0,0,0,0,False,Family Leisure,Economy Class,952,0
1.0,1.0,1.0,1.0,1.0,0,0,0,0,0,False,Couple Leisure,Economy Class,1305,0
1.0,1.0,,1.0,1.0,0,0,1,0,0,True,Solo Leisure,Economy Class,1672,0
2.0,4.0,1.0,4.0,1.0,0,0,0,0,0,True,Family Leisure,Economy Class,767,0
1.0,1.0,1.0,1.0,1.0,0,0,0,0,0,True,Solo Leisure,Economy Class,690,0
3.0,1.0,1.0,1.0,2.0,0,0,0,0,0,False,Couple Leisure,Economy Class,621,0
,,,,1.0,1,1,1,1,0,False,Family Leisure,Economy Class,740,0
1.0,1.0,1.0,1.0,1.0,0,0,0,0,0,True,Couple Leisure,Economy Class,528,0
4.0,4.0,2.0,5.0,3.0,0,0,0,0,0,True,Solo Leisure,Economy Class,1204,1
4.0,4.0,,5.0,4.0,0,0,1,0,0,True,Solo Leisure,Economy Class,217,1
4.0,5.0,,5.0,4.0,0,0,1,0,0,True,Solo Leisure,Economy Class,226,1
4.0,2.0,,3.0,3.0,0,0,1,0,0,False,Couple Leisure,Economy Class,1224,1
,,,,4.0,1,1,1,1,0,False,Unknown,Economy Class,197,1
,,,,,1,1,1,1,1,False,Unknown,Unknown,312,0
