vader_compound,vader_pos,vader_neg,vader_neu,aspect_seat,aspect_food,aspect_staff,aspect_ground_service,aspect_entertainment,aspect_seat_missing,aspect_food_missing,aspect_staff_missing,aspect_ground_service_missing,aspect_entertainment_missing,Verified,Type Of Traveller,Seat Type,review_length,Recommended
0.985,0.272,0.0,0.728,0.9552,0.9552,0.9552,0.9552,,0,0,0,0,1,False,Unknown,Unknown,525,0
0.9176,0.212,0.05,0.738,,0.9137,0.9137,,,1,0,0,1,1,False,Unknown,Unknown,391,0
0.1002,0.059,0.035,0.906,,0.8402,0.8402,,,1,0,0,1,1,False,Unknown,Unknown,311,0
0.908,0.109,0.024,0.867,,0.9516,0.9516,,,1,0,0,1,1,False,Unknown,Unknown,776,0
0.9562,0.383,0.0,0.617,,0.9501,0.9501,,,1,0,0,1,1,False,Unknown,Unknown,212,0
0.9519,0.176,0.042,0.782,0.9138,0.9138,0.9138,0.9138,,0,0,0,0,1,False,Unknown,Unknown,701,0
-0.2124,0.05,0.054,0.896,,0.092,0.092,0.092,,1,0,0,0,1,False,Unknown,Unknown,1088,0
0.9707,0.118,0.0,0.882,0.9708,0.9708,0.9708,0.9708,,0,0,0,0,1,False,Unknown,Unknown,973,0
-0.9454,0.028,0.104,0.868,,-0.9524,-0.9524,-0.9524,,1,0,0,0,1,True,Family Leisure,Economy Class,1069,0
-0.9539,0.04,0.088,0.872,,-0.3156,-0.3156,-0.3156,,1,0,0,0,1,True,Couple Leisure,Economy Class,2008,0
-0.5699,0.045,0.055,0.899,-0.4767,,-0.4767,-0.4767,,0,1,0,0,1,True,Family Leisure,Economy Class,727,1
-0.742,0.059,0.137,0.804,0.5423,,0.5423,,,0,1,0,1,1,True,Couple Leisure,Premium Economy,373,0
-0.986,0.017,0.288,0.695,,,-0.977,,,1,1,0,1,1,False,Couple Leisure,Economy Class,588,0
-0.6395,0.052,0.119,0.829,,,,-0.7845,,1,1,1,0,1,False,Couple Leisure,Business Class,293,0
-0.9661,0.041,0.083,0.876,-0.7969,,-0.7969,-0.7969,,0,1,0,0,1,False,Couple Leisure,Economy Class,2389,0
0.8949,0.21,0.078,0.711,,,,0.8689,0.8689,1,1,1,0,0,True,Couple Leisure,Economy Class,405,1
0.9734,0.261,0.0,0.739,,0.9524,,0.9524,,1,0,1,0,1,True,Business,Business Class,449,1
-0.8885,0.034,0.193,0.773,,,,-0.8885,,1,1,1,0,1,True,Business,Economy Class,318,0
-0.8544,0.041,0.173,0.787,,,-0.6124,,,1,1,0,1,1,False,Business,Business Class,271,0
0.9638,0.169,0.0,0.831,0.9638,0.9638,0.9638,0.9638,0.9638,0,0,0,0,0,True,Couple Leisure,Economy Class,622,1
0.34,0.065,0.049,0.886,,,,0.5574,,1,1,1,0,1,True,Solo Leisure,Economy Class,427,0
-0.7684,0.0,0.111,0.889,-0.6486,,-0.6486,-0.6486,,0,1,0,0,1,True,Couple Leisure,Economy Class,407,0
0.987,0.146,0.0,0.854,0.9867,0.9867,0.9867,,0.9867,0,0,0,1,0,True,Couple Leisure,Economy Class,1071,1
0.9287,0.132,0.022,0.846,,,0.9325,0.9325,,1,1,0,0,1,True,Couple Leisure,Business Class,674,1
-0.2575,0.066,0.085,0.848,0.4767,,,,,0,1,1,1,1,True,Family Leisure,Economy Class,526,0
-0.8625,0.009,0.076,0.915,-0.9217,,-0.9217,-0.9217,,0,1,0,0,1,False,Business,Economy Class,706,0
0.7906,0.156,0.093,0.752,,0.8481,0.8481,0.8481,0.8481,1,0,0,0,0,True,Couple Leisure,Economy Class,440,1
0.9818,0.423,0.0,0.577,,,0.9803,,,1,1,0,1,1,True,Solo Leisure,Economy Class,265,1
0.9215,0.113,0.013,0.874,0.9169,0.9169,0.9169,0.9169,0.9169,0,0,0,0,0,True,Solo Leisure,Economy Class,580,1
0.9736,0.144,0.062,0.794,,,0.9803,0.9803,,1,1,0,0,1,True,Solo Leisure,Economy Class,954,0
-0.3182,0.04,0.059,0.901,,0.25,0.25,0.25,,1,0,0,0,1,True,Solo Leisure,Economy Class,1677,0
0.2707,0.1,0.098,0.802,,,,,,1,1,1,1,1,True,Solo Leisure,Economy Class,206,0
0.9796,0.324,0.0,0.676,,0.9628,0.9628,0.9628,0.9628,1,0,0,0,0,True,Couple Leisure,Business Class,323,1
0.9606,0.338,0.048,0.614,0.969,0.969,0.969,,,0,0,0,1,1,True,Family Leisure,Business Class,261,1
-0.5423,0.027,0.131,0.843,,,-0.7906,,,1,1,0,1,1,True,Business,Economy Class,353,0
-0.7089,0.0,0.102,0.898,,,-0.6808,,,1,1,0,1,1,True,Family Leisure,Economy Class,261,0
0.9204,0.223,0.04,0.737,0.9062,0.9062,0.9062,,,0,0,0,1,1,True,Family Leisure,Economy Class,278,0
-0.4854,0.014,0.046,0.941,-0.128,,-0.128,-0.128,,0,1,0,0,1,True,Couple Leisure,Economy Class,987,0
